length,threads,blocks,user_avg,user_dev,real_avg,real_dev
80000,1,32,19.41918445,0.24255643043949077,22.56705431255,0.2614257608421337
80000,1,256,9.1963083,0.050824517283590734,12.190534429500001,0.03269014373972627
80000,1,1024,7.5854421,0.03428370416378605,10.5941341189,0.020178789765740144
80000,1,4096,7.48283785,0.07414004079461718,10.57150133695,0.07435761267534718
80000,2,32,16.985060400000002,0.2942825754670838,10.740342220299999,0.16844691159283443
80000,2,256,9.355252400000001,0.1255194040817593,6.61740498555,0.02536246211799311
80000,2,1024,7.61514625,0.03661856462762428,5.72628629305,0.03124468559960741
80000,2,4096,7.4810393500000005,0.033106049710400404,5.86139056365,0.020428638052337286
80000,4,32,17.596978749999998,0.5551889214236783,7.916044155749999,0.19222082252857045
80000,4,256,9.6471704,0.08505958088328434,4.80973226235,0.02771006428174809
80000,4,1024,7.788603,0.07038505345668221,4.15566780865,0.043859532647853784
80000,4,4096,7.66167655,0.09284961560958388,4.35463983195,0.0395220220050514
80000,8,32,23.97812945,0.2594370922978202,6.7359872768499995,0.10684643826173851
80000,8,256,11.309155950000001,0.10147684286253435,3.8106897736999996,0.05197920589954357
80000,8,1024,8.6626428,0.06882756005307752,3.1938623775,0.02509969660710202
80000,8,4096,8.29576685,0.07432486019177893,3.3670120029,0.037682989840235465
80000,16,32,33.28529155,0.2565132876941218,4.973695606,0.042048874110468516
80000,16,256,15.8386861,0.09168233195000003,2.82982111455,0.033813828761042615
80000,16,1024,11.70139625,0.061446810611190526,2.45785055365,0.02711862406523945
80000,16,4096,10.1969328,0.11066466095579029,2.5715358026499997,0.027558933408116437
60000,1,32,10.91135625,0.3542182061150829,12.66059433665,0.3370550786434326
60000,1,256,5.31680555,0.03665943580508985,6.92483880075,0.018836378072399053
60000,1,1024,4.33824095,0.025473198606525516,5.9275783405,0.007103369878079465
60000,1,4096,4.2337127500000005,0.03472975457424795,5.8616639662,0.007006229506337005
60000,2,32,9.49655025,0.21137924724056376,6.0048246976,0.12909386453860588
60000,2,256,5.331193900000001,0.032433471633329714,3.70502894925,0.01351837914661775
