length,np,block,user_avg,user_dev
100000,2,1024,8.3294184,1.7935704754599247
100000,4,1024,3.94858955,0.07092485715281703
100000,6,1024,2.58961,0.10703565670934145
100000,8,1024,2.4769481499999992,0.014365136192445187
100000,10,1024,2.0154990000000006,0.016630381823638345
100000,12,1024,1.8484195500000002,0.056694435673595896
100000,14,1024,1.6144597500000004,0.039004888028136925
100000,16,1024,1.4507813,0.08166394240673176
80000,2,1024,4.754844050000001,1.1015440760272588
80000,4,1024,2.5386686000000003,0.030996041480163248
80000,6,1024,1.6555847499999998,0.051626782396228206
80000,8,1024,1.60327525,0.007956004348132296
80000,10,1024,1.30951655,0.007687091624762904
80000,12,1024,1.3183231999999998,0.10815140849272374
80000,14,1024,1.1562329,0.07346589518946868
80000,16,1024,1.0158703,0.04026063460143172
60000,2,1024,2.3820593999999997,0.3854791772764646
60000,4,1024,1.4365949999999998,0.03138259032489192
60000,6,1024,0.9189316999999999,0.020355163816830356
60000,8,1024,0.9085108,0.0067011128150479635
60000,10,1024,0.7474090999999999,0.005643410802874453
60000,12,1024,0.8535453499999999,0.09544307658194753
60000,14,1024,0.7572061999999999,0.1037395271921942
60000,16,1024,0.6992262499999999,0.09679322205964372
40000,2,1024,1.1958761999999996,0.3133315428878171
40000,4,1024,0.6430662500000001,0.014394567867341487
40000,6,1024,0.41323845000000003,0.01863079362634614
40000,8,1024,0.4131314999999999,0.0028255665361127157
40000,10,1024,0.34672640000000005,0.003614546782101457
40000,12,1024,0.5108397499999999,0.033824742794107104
40000,14,1024,0.46696335000000005,0.032955908255235505
40000,16,1024,0.45750305,0.02537118821512899
20000,2,1024,0.27654455,0.058523765354319954
20000,4,1024,0.16286825,0.0024979983962164568
20000,6,1024,0.1105142,0.003237761936894062
20000,8,1024,0.11727190000000001,0.0011739727807747512
20000,10,1024,0.10546244999999999,0.0012789335977680782
20000,12,1024,0.2642035000000001,0.022260249384272405
20000,14,1024,0.25949910000000004,0.03366045457788709
20000,16,1024,0.2387788,0.052087608057579296
10000,2,1024,0.071194,0.002245199434348762
10000,4,1024,0.043991749999999996,0.0018010603508766714
10000,6,1024,0.036764500000000006,0.001346671841986755
10000,8,1024,0.0450563,0.0008798435144956179
10000,10,1024,0.0478829,0.0005837243270585869
10000,12,1024,0.1447982,0.016253031008399633
10000,14,1024,0.15601519999999997,0.02453718539604736
10000,16,1024,0.15939255000000002,0.02535350970275121
100000,1,1024,11.40263555,0.012872772465459825
80000,1,1024,7.30795325,0.02148477366153751
60000,1,1024,4.1048699,0.003923722644377403
40000,1,1024,1.82493965,0.002212928540983667
20000,1,1024,0.45952469999999995,0.010080053418013225
10000,1,1024,0.11509494999999999,0.0014295359203251934
